fpr,tpr
0.0,0.0
0.0,0.002890173410404624
0.0,0.005780346820809248
0.0,0.006502890173410405
0.0,0.008670520231213872
0.0,0.00939306358381503
0.0,0.01083815028901734
0.0,0.013728323699421965
0.0,0.016618497109826588
0.0,0.02023121387283237
0.0,0.022398843930635837
0.0,0.028901734104046242
0.0,0.03106936416184971
0.0,0.03251445086705202
0.0,0.03395953757225433
0.0,0.036127167630057806
0.0,0.03757225433526012
0.0,0.039739884393063585
0.0,0.041184971098265896
0.0,0.046242774566473986
0.0,0.0476878612716763
0.0,0.0888728323699422
0.0,0.09031791907514451
0.0,0.1365606936416185
0.0,0.14017341040462428
0.0,0.1416184971098266
0.0,0.1430635838150289
0.0,0.14739884393063585
0.0,0.14884393063583815
0.0,0.19653179190751446
0.0,0.19797687861271676
0.0,0.20520231213872833
0.0,0.20664739884393063
0.0,0.24494219653179192
0.0,0.24638728323699421
0.0,0.2796242774566474
0.0,0.2832369942196532
0.0,0.29624277456647397
0.0,0.2976878612716763
0.0,0.30491329479768786
0.0,0.3063583815028902
0.0,0.49710982658959535
0.0,0.4985549132947977
0.0,0.5086705202312138
0.0,0.5101156069364162
0.0,0.5585260115606936
0.0,0.559971098265896
0.0,0.5838150289017341
0.0,0.5852601156069365
0.0,0.6119942196531792
0.0,0.6134393063583815
0.0,1.0
0.06987258528565557,1.0
0.07028360049321825,1.0
0.14221126181668722,1.0
0.14282778462803122,1.0
0.1894780106863954,1.0
0.19030004110152077,1.0
0.20900123304562268,1.0
0.20941224825318536,1.0
0.22831894780106865,1.0
0.22872996300863133,1.0
0.2772297575010275,1.0
0.27805178791615287,1.0
0.2928483353884094,1.0
0.293259350595972,1.0
0.3008631319358816,1.0
0.3012741471434443,1.0
0.3027127003699137,1.0
0.30353473078503906,1.0
0.30517879161528977,1.0
0.30558980682285247,1.0
0.3284011508425812,1.0
0.32922318125770655,1.0
0.33518290176736537,1.0
0.3355939169749281,1.0
0.33744348540896013,1.0
0.33785450061652283,1.0
0.3392930538429922,1.0
